Entity,Year,Male_Prevalence,Female_Prevalence
Dominica,2016,3.380563939,5.638638076
Dominica,2017,3.3729343,5.642186737
Dominica,2018,3.373502074,5.64346618
Dominica,2019,3.377676304,5.642860622
Dominican Republic,2016,3.501285982,5.872716391
Dominican Republic,2017,3.483054732,5.883073293
Dominican Republic,2018,3.490560871,5.888271299
Dominican Republic,2019,3.512319074,5.892106432
East Asia & Pacific (WB),2016,2.616763962,4.219095453
East Asia & Pacific (WB),2017,2.656682129,4.262678878
East Asia & Pacific (WB),2018,2.660005354,4.264943962
East Asia & Pacific (WB),2019,2.643864273,4.2469815
Eastern Mediterranean Region (WHO),2016,3.784876378,6.015365915
Eastern Mediterranean Region (WHO),2017,3.757835649,5.972591842
Eastern Mediterranean Region (WHO),2018,3.753256312,5.977082391
Eastern Mediterranean Region (WHO),2019,3.751016149,6.006059109
Ecuador,2016,4.144340195,6.789740356
Ecuador,2017,4.145656063,6.785099075
Ecuador,2018,4.148615754,6.7909186
Ecuador,2019,4.151094628,6.803399788
Egypt,2016,3.679949832,5.912835495
Egypt,2017,3.679675563,5.911334492
Egypt,2018,3.685784341,5.934348819
Egypt,2019,3.696401722,5.980737673
El Salvador,2016,3.453635752,5.600754687
El Salvador,2017,3.457629989,5.601921145
El Salvador,2018,3.462186592,5.603310261
El Salvador,2019,3.46708738,5.603890845
England,2016,3.816096805,5.856898935
England,2017,3.811296786,5.840793537
England,2018,3.816816611,5.840328798
England,2019,3.830778371,5.846048289
Equatorial Guinea,2016,3.293843829,4.485791755
Equatorial Guinea,2017,3.3069916,4.491016918
Equatorial Guinea,2018,3.310671948,4.481934106
Equatorial Guinea,2019,3.311602256,4.460246833
Eritrea,2016,3.116656027,4.458572012
Eritrea,2017,3.125331701,4.476671707
Eritrea,2018,3.13850143,4.476452059
Eritrea,2019,3.157630658,4.466838089
Estonia,2016,2.773754126,4.434555347
Estonia,2017,2.769131448,4.419671278
Estonia,2018,2.771184905,4.42390797
Estonia,2019,2.777187504,4.438673042
Eswatini,2016,3.081053046,4.120574386
Eswatini,2017,3.080406696,4.137629162
Eswatini,2018,3.080929809,4.119647781
Eswatini,2019,3.081375105,4.072221707
Ethiopia,2016,2.719663626,4.304782044
Ethiopia,2017,2.732861919,4.32301899
Ethiopia,2018,2.748019694,4.319213309
Ethiopia,2019,2.76830678,4.300809315
Europe & Central Asia (WB),2016,3.41278953,5.964660346
Europe & Central Asia (WB),2017,3.4140864,5.947104028
Europe & Central Asia (WB),2018,3.415193326,5.929306423
Europe & Central Asia (WB),2019,3.416528622,5.897737408
European Region (WHO),2016,3.41012064,5.954536829
European Region (WHO),2017,3.411428992,5.936736285
European Region (WHO),2018,3.412500525,5.918972335
European Region (WHO),2019,3.413775386,5.887720004
Fiji,2016,3.192062889,5.156037024
Fiji,2017,3.17896729,5.159186998
Fiji,2018,3.184296972,5.167263493
Fiji,2019,3.199690706,5.18124441
Finland,2016,3.587937392,5.184895074
Finland,2017,3.5851682,5.161564925
Finland,2018,3.581891159,5.159458711
Finland,2019,3.576451914,5.165259577
France,2016,4.462654724,9.159953722
France,2017,4.474538243,9.148627434
France,2018,4.472056548,9.154759236
France,2019,4.461873389,9.17214802
G20,2016,2.906744189,4.803704676
G20,2017,2.929740488,4.821263413
G20,2018,2.933738652,4.81892666
G20,2019,2.928868062,4.805722844
Gabon,2016,3.399614285,4.648977705
Gabon,2017,3.409537851,4.67618556
Gabon,2018,3.413118548,4.667492744
